steam_name,country_iso2,frequency
The Pixel Hunt,ES,1
The Molasses Flood,,1
The Men Who Wear Many Hats,US,1
The Indie Stone,GB,1
The Gentlebros,,1
The Game Kitchen,ES,1
The Future Of Videogames,,1
The Fun Pimps,,1
The Fox Knocks,,1
The Deep End Games,,1
The Creative Assembly,GB,1
The Conjurer's Tower,,1
The Collective,GB,1
The Bitmap Brothers,,1
The Bearded Ladies,SE,1
tha ltd.,,1
Teyon,PL,1
Texel Raptor,,1
Tetabester,,1
Test3 Projects,,1
terunon's Lab,,1
Terror Dog Studio,,1
Terrible Toybox,,1
"Tequila Works, S.L.",,1
tequibo,,1
Teotl Studios,SE,1
Tengsten,,1
Tendershoot,,1
TEKUNOS A,,1
Teeworlds Team,,1
TECOPARK,,1
TechnoBrake,,1
TeamCrew,,1
Team8 Studio,,1
Team2Bit,,1
Team17 Software Ltd.,GB,1
Team17 Digital,GB,1
Team Wood Games,AT,1
Team Tripleslash,,1
Team Shifty,AU,1
Team Salvato,US,1
Team Psykskallar,,1
Team PEAK,,1
Team NINJA,,1
Team ModCom,,1
Team Meat,,1
Team Isolation,,1
Team Indev,,1
Team Fractal Alligator,,1
Team Bondi,AU,1
Team 6 Studios,US,1
Tasharen Entertainment Inc.,,1
Tarsier Studios,SE,1
Tanya Short,,1
Tantalus,,1
Tall Story Studios,GB,1
Talha Kaya,,1
Talentplace,,1
Taito,JP,1
T3Entertainment,,1
System Erasure,,1
System Era Softworks,US,1
Synset,,1
Synaptic Insight Technology Systems,,1
Sylvain Tegroeg,,1
Sylv,,1
SYCK,,1
Swordtales,,1
SwordRP5,,1
Switchblade Monkeys Entertainment,,1
Sweet Bandits Studios,CA,1
Sven Co-op team,,1
Svarog Studios,,1
Sushi_soft,,1
Sushee,FR,1
Survios,US,1
Supra Games,,1
SuperVillain Studios,US,1
SUPERSCARYSNAKES,,1
"Supercombo, Inc.",,1
Superbrothers,,1
Super Mega Team,,1
Super Alex,,1
Sunhead Games,,1
Sumo Digital Ltd,GB,1
Sukeban Games,,1
Subvert Games,,1
Subscience Studios,US,1
Subcreation Studio,,1
Stygian Software,,1
StunForge,,1
Stuffed Wombat,,1
StudioNAZE,,1
StudioDobby,,1
Studio Vrtinec,,1
Studio Thunderhorse,US,1
STUDIO RADI-8,,1
Studio Monolith,,1
Studio MDHR Entertainment Inc.,,1
Studio Fizbin,DE,1
Studio Evil,IT,1
Studio Chahut,,1
Studio Bean,,1
Stress Level Zero,US,1
Straylight Entertainment,,1
Stray Kite Studios,,1
Stray Fawn Studio,,1
Strategiae,,1
Stratecade LLC,,1
Strange Fire,,1
Storybird,,1
Stormling Studios,,1
Stormind Games,,1
Storm in a Teacup,IT,1
Stone Fox Studios,,1
Stolen Couch Games,NL,1
Stitch Heads Entertainment,NL,1
Still Games,,1
Steve Jarman,,1
Stellar Jockeys,,1
Stelex Software,,1
Stegosoft Games,,1
Steel Sky Productions,AU,1
Steel Monkeys,,1
Steel Crate Games,,1
Steel Balalaika,,1
Starward Industries,PL,1
Startreming Games,,1
StarQuail Games,,1
Starbreeze Studios AB,SE,1
Starbreeze,SE,1
Star Maid Games,,1
Star Gem Inc.,,1
Star Drifters,PL,1
StalkerAlex,,1
Stairway Games,,1
Stainless Games Ltd.,GB,1
Stainless Games Ltd,,1
Stainless Games,GB,1
Stage Games,GR,1
Squid In A Box Ltd,,1
Squad,GB,1
Spry Fox LLC,US,1
Spotted Zebra,,1
Spooky Squid Games Inc.,,1
Spline Games,,1
SPLine,,1
Splashteam,,1
SpikySnail,IL,1
Spiky Crumb,,1
Spiderling Studios,,1
Spider Nest Games,,1
Spicyhorse Games,,1
Spicy Horse Games,US,1
Sperasoft,US,1
SpeedTutor,,1
Spectralflame,,1
sparsevector,,1
Sparpweed,,1
"Sparkypants Studios, LLC",,1
Spaces of Play UG,,1
Spaceboy Games,,1
Space Boat Studios,,1
SOUTHPAW GAMES,,1
Southend,,1
Sorath,,1
Sonoshee,,1
Sonic Team,,1
Sonic Sloth,,1
Sonic Powered,,1
Sometimes You,,1
Sólfar Studios,IS,1
Solest Games,,1
Soleil Ltd.,,1
SoftWeir Inc.,,1
SOFF Games,,1
Social Loner Studios,,1
Sobaka Studio,,1
So Romantic,,1
Snowcastle Games,,1
Snowblind Studios,US,1
SnoutUp,,1
snekflat,,1
Sneaky Yak Studio,,1
Sneaky Bastards,,1
Snake Hill Games,,1
Smoking WOLF,,1
Smilegate RPG,,1
Smartly Dressed Games,,1
Sloclap,FR,1
Slitherine Ltd.,,1
Slick Entertainment Inc.,,1
SleepyDad Games,,1
Sleepless Clinic,,1
Slavic Magic,,1
Slant Six Games,CA,1
