name,country_iso2,region,locality
rebel wolves,PL,mazowieckie,ursynow
"player led systems,playerledsystems.com, llc",woodinville
lavitesse ltd.,GI,,gibraltar
skinscout,IL,tel aviv,
fooplix inc,US,delaware,wilmington
1universe games,US,iowa,ames
truddy,BR,rio grande do sul,porto alegre
lerp games,TR,istanbul,
midlund games,TR,ankara,çankaya
metagame industries,SG,central singapore,singapore
rtik game studio,US,west virginia,keyser
zedraw studio,VN,ho chi minh,thu duc
team wagashi,JP,tokyo,tokyo
master crowd games,ES,andalucia,malaga
vrmars,TR,istanbul,
mai games,TR,istanbul,
volcanite games,IT,piedmont,turin
w3:ride | the next-generation cycling app,CH,zug,
3iostudios,SG,central singapore,singapore
bloodloop,CH,ticino,lugano
semble,SE,,
analiz games,TR,eskisehir,
vmoba,VN,ha noi,
studio setoril,CO,valle del cauca,
oyuncu app,TR,ordu,
vazrh studios private limited,IN,telangana,hyderabad
raccoon game studio,ES,valencia,valencia
comvigant,TR,istanbul,
heuston gaming,IE,dublin,dublin
kitticat games,GB,liverpool,
games 4 you 2 know,FR,ile-de-france,paris
crypto carlo,US,illinois,chicago
npc engine,PL,mazovia,warsaw
innomic gamechanger,CL,santiago metropolitan,santiago
horizon jeu vidéo,FR,auvergne-rhône-alpes,lyon
tataki studio,FR,ile-de-france,paris
day lawn games,CA,ontario,amherstview
abc games,ID,bali,denpasar
namepix,GB,brighton and hove,brighton
2 dude studios,IN,delhi,delhi
combat waffle studios inc,US,florida,port charlotte
battle world game,IN,tamil nadu,chennai
half & half studios,US,new jersey,east brunswick
express game studio,IN,delhi,new delhi
sao game,TR,istanbul,
wery games,GB,greater london,london
arcturus game studios,GB,county durham,
maitreya studios,US,florida,lake city
mpj ce,BR,ceara,crato
dogpunkstudio,US,california,los angeles
stacked turtle studio,US,michigan,east lansing
devas vs asuras,IN,telangana,hyderabad
raremind,FR,ile-de-france,paris
ganbaru games,ES,castilla-la mancha,toledo
artal games,AE,dubai,
hyperlemonstudios,PL,pomorskie,koscierzyna
surfguild,SG,central singapore,singapore
mindlabor,TR,istanbul,
edocto,FR,centre,restigne
histoire de jeu,CA,quebec,montreal
get in the box studios,US,florida,orlando
laissez-faire labs llc,US,arizona,phoenix
aky games,TR,istanbul,istanbul
i2k games,CL,santiago metropolitan,santiago
hamthor pte. ltd,SG,central singapore,singapore
superfast games inc.,US,michigan,detroit
"kingdom down studios,kingdomdownstudios.godaddysites.com, llc",
triple eye games,FR,,
devsisters europe gmbh,DE,berlin,
gramofon games,TR,istanbul,beylikdüzü
lusio,US,,
tales of aleko,AE,,
alketh,US,new york,
da game labs,PK,,
yes.fun,US,florida,fort lauderdale
pushing vertices inc.,CA,ontario,mississauga
paragon game studio,TR,sivas,
be a champion gg,AR,buenos aires,
valadria,US,california,los angeles
ld collections,ES,a coruña,a coruña
gaming doctrine,PK,sindh,karachi
the grand clockwork,CA,alberta,calgary
something random s.a.,PL,łódź voivodeship,łódź
oyster egg,RU,saint petersburg city,saint petersburg
hitzone,ES,madrid,
smooglers,PK,punjab,lahore
mad carnival (nz),NZ,auckland,
niche studio,CA,quebec,montreal
uludağ üniversitesi dijital oyun tasarım topluluğu,TR,bursa,
team lone survivor,DK,capital region,copenhagen
mbs studios,SG,central singapore,singapore
ox unity,PK,punjab,gujranwala
a-maze,DK,south denmark,odense
blue beast studio,SA,al madinah al munawwarah,medina
eon rush studios,VG,,
reves games,TR,istanbul,
leatherback games,US,washington,spokane
mars labs,GB,greater london,london
marema studios,PT,leiria,leiria
kale entertainment,DE,,
rock games studıo,TR,antalya,muratpaşa
cointalk,TH,,
pixology,ES,navarre,pamplona
demigod dynamics,DE,baden-wurttemberg,stuttgart
murdercrow.games,US,massachusetts,city of pittsfield
rebirth studios,US,texas,austin
daily dogfights golf,US,texas,fort worth
boilr,FR,ile-de-france,paris
gameloft paris studio,FR,ile-de-france,paris
musidev games,MY,selangor,cyberjaya
fringe realities,AU,south australia,adelaide
mythicanity studios llc,US,michigan,port huron
big bang studio ltd.,BD,dhaka,dhaka
oegame studios,TR,ankara,
viv esport,FR,ile-de-france,paris
humans of gamedev,US,oregon,remote
rndm north,NO,vestfold,horten
meta bot : rage against the humans,FR,corse,arena
electric saint,GB,greater london,london
"block tackle,blocktackle.io, inc.",san francisco
hush fin games,US,new york,troy
redeemer games,DE,hesse,frankfurt am main
games tree(the future is here),PK,punjab,lahore
vizta dgtl,DE,berlin,
codebold philippines inc.,PH,manila,makati
wega labs,US,delaware,wilmington
centrum rozwoju przemysłów kreatywnych,PL,mazowieckie,warsaw
savage studios,PK,punjab,lahore
league of realms,AE,dubai,
inviga,BE,,
3d dialectics,US,new mexico,albuquerque
pocket duck games,AR,santa fe,rafaela
celosya games,CA,quebec,montreal
regenplus,LT,vilnius,
peach esports,GB,greater london,london
couplefish game media company ltd,CN,beijing,beijing
boids,AU,,
haraflax ab,SE,saintckholm,
homie wars,ES,madrid,
pepperlyl,NG,,
blitzkrieg games,US,new york,mount vernon
off-season studio,US,new york,new york
studio ni,IL,haifa,
famouse11 gaming zone private limited,IN,uttar pradesh,morādābād
investigames,PL,lesser poland voivodeship,kraków
studio runiq,CA,quebec,quebec
bumba games,TR,istanbul,
today.afk,HR,osjecko-baranjska,osijek
gamedev fund,LT,vilnius,
leafron,US,north carolina,cary
gushiland | powered by algorand,IT,piedmont,torino
lemonpepper games,US,washington,seattle
trinomio studios,ES,andalucia,algeciras
shotx - jeu de soirée,FR,occitanie,montpellier
game economist consulting,SE,,
meme the gathering,AE,dubai,
carbon based studio,AE,dubai,
eternal vision,LB,,
iberians gaming,ES,castilla y leon,valladolid
worm wood city,AE,,
moja interactive,KE,nairobi area,nairobi
uniqfuture,PL,mazowieckie,warsaw
virtual beasts,SE,saintckholm,
transcenders media,SE,skane lan,tomelilla
lionarts studio,ES,canary islands,las palmas de gran canaria
new tales,FR,ile-de-france,paris
onze 8 degrés,FR,bretagne,rennes
g-mex,TR,elazığ,
gamegreed,AE,ajman,
gamestock,KR,gyeonggi-do,seongnam
campfire cabal,DK,capital region,copenhagen
sociaaal,US,california,san francisco
fisherman's games,ES,catalonia,barcelona
ramsa empire tech,IN,uttar pradesh,noida
detached heads,CZ,praha,prague
gravity lagoon,KZ,soltustik qazaqstan,petropavl
hathouse studios,FR,ile-de-france,paris
deceilio,IN,karnataka,bengaluru
twinkle frog studios,PT,leiria,
megamynd,IN,delhi,delhi
futech interactive ltd,VG,,
sporty beavers,AE,dubai,
majamojo,ID,jakarta,
prizebuff,US,texas,austin
nota gaming,SG,central singapore,singapore
the vr club • constructor university bremen,DE,bremen,bremen
fromdust studio,ES,catalonia,barcelona
ponkan studio,BR,sao paulo,
level up academy,TR,istanbul,
fat bear society,US,utah,salt lake city
inspire game studios,GB,brighton and hove,brighton
tellus2,SE,vastra gotaland,goteborg
365games,AE,sharjah,sharjah
h3m,US,california,los angeles
castia,GB,,
netra games,TR,ordu,
kick games,IN,delhi,delhi
multiverse of technology,ID,jawa timur,malang
shotgun monkeys,GB,,
27games,GB,manchester,
evv game,TR,istanbul,
group 1 sports,AU,victoria,melbourne
amber bear interactive ltd.,GB,cornwall,falmouth
sloe burn games,CA,quebec,varennes
antapex,TR,eskisehir,
cyberdeck studios,TR,samsun,
fraag esport,FR,occitanie,vic-en-bigorre
punkzilla,US,california,mission viejo
bitbyte games,CA,ontario,toronto
shi no hi,FR,provence-alpes-cote d'azur,aubagne
tales of hinansho,US,florida,miami
unpredictable games,TR,i̇zmir,
discovery one limited,BD,dhaka,
studio red,NL,noord-brabant,breda
kingdomverse,AE,dubai,
solapoly game,TR,istanbul,
esport des sacres,FR,grand est,reims
esports africa tournament,GH,greater accra,accra
cncjstudios,SI,ljubljana,
hit stairs®,FR,,
cric streamer,PK,,
gg studio,DE,bavaria,munich
0101 labs,US,california,
no slopes,BR,rio de janeiro,
eternação games,BR,sao paulo,
thorny studio,TR,elazığ,
threethreefour studios,IN,,
full moon games,CA,quebec,montreal
code ninjas northridge,US,california,northridge
fanguild,SG,central singapore,singapore
avant labs,CH,zug,baar
kcstudios.games,US,alabama,madison
fans league technologies,GB,greater london,london
"methodical games,methodical.com, inc.",raleigh
pixfork games as,NO,aust-agder,viken
cromy.io,CH,,
the games network®,DE,hamburg,hamburg
bidask,IN,maharashtra,mumbai
screen juice interactive gmbh,DE,north rhine-westphalia,cologne
worldspark studios,US,texas,dallas
lootbox,RS,vojvodina,novi sad
the next hype,GB,greater london,london
nostalgic games,PK,sindh,karachi
ludena games,TR,elazığ,
double combo games,FR,bretagne,rennes
linx interactive,NL,noord-holland,laren
bluered labs,US,texas,houston
madrid in game,ES,madrid,madrid
backroom boys,PL,mazovia,warsaw
igrove,GE,t'bilisi,tbilisi
dark passenger,PL,,
monarch interactive game studios,IN,west bengal,kolkata
sd esports media,GB,greater london,london
backtobits,ES,castellon,
vertexmonk studio,IN,assam,guwahati
ratmode,NZ,wellington,
highborn games,TR,istanbul,kagithane
aky teknoloji̇,TR,istanbul,
esportsu,US,connecticut,stamford
moon games,UA,odessa,odessa
ultraservers,SG,central singapore,singapore
grandma green,US,california,los angeles
acrylic pixel ltd,GB,northamptonshire,northampton
fishies and a muffin,AR,,
underwater fire games,US,california,sherman oaks
el faro,AR,,
figmentastudios,CA,ontario,toronto
strange wicked,FR,nouvelle-aquitaine,bordeaux
litcobra,SE,,
galactonautas games & softwares,BR,sao paulo,bauru
osho studios,TR,istanbul,
tharasis,IN,karnataka,bengaluru
wishlist games,CY,nicosia,
wyrtual,PK,punjab,lahore
gumball interactive,US,michigan,grand rapids
tourismapp,IT,piedmont,torino
previous ab,SE,norrbottens lan,boden
needone agency - nd1,FR,auvergne-rhône-alpes,miribel
legit human games,GB,,
fellas studios,ID,east java,surabaya
mugen games studios,ES,madrid,
roxie games,TR,istanbul,
pie-gamers,IN,rajasthan,jaipur
paveway design,IT,lombardia,milan
hexaplay,ID,banten,tangerang
lude,GB,greater london,london
isalyx games,FR,occitanie,carcassonne
kashaf,PK,punjab,multan
phat fingers,PT,lisbon,
inbex systems,DE,bayern,bamberg
schway pineapple creations,US,michigan,kalamazoo
twink studios.inc,PK,punjab,lahore
go game hackathon,TR,konya,beysehir
monkey nuts studio,GB,greater london,london
big forge games,AE,,
zalmoxe land,RO,bucuresti,bucharest
magical animals & mystical beasts association (mamba),DE,berlin,berlin
vidribute,DE,hesse,offenbach
bullrundigital,PH,manila,makati
hartveilige school,NL,north holland,amsterdam
mir game studio,ID,jawa barat,cimahi
team nava,DE,saxony,leipzig
