"Umami Tiger (Matthias Linda)","1"
"ULTRA ULTRA","1"
"Ulfsire","1"
"UL Solutions","1"
"Ubisoft Sofia","1"
"Ubisoft Singapore","1"
"Ubisoft Shanghai","1"
"Ubisoft Pune","1"
"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev","1"
"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai","1"
"Ubisoft Montréal","1"
"Ubisoft Milan","1"
"Ubisoft Kiev","1"
"Ubisoft Bulgaria","1"
"Ubisoft Belgrade","1"
"Ubisoft Annecy","1"
"Ubisoft - San Francisco","1"
"Tyu","1"
"Typhoon","1"
"Tymon Zgainski","1"
"Two Point Studios","1"
"Twistplay","1"
"Twelve Tiles","1"
"Twelve Games","1"
"TVGS","1"
"Tuxedo Labs","1"
"Turtle Cream","1"
"Tuque Games","1"
"TUNNEL No.73","1"
"tT Studios","1"
"TT Fusion","1"
"Tsukinomizu Project","1"
"TrueThought","1"
"Triternion","1"
"Triple.B.Titles","1"
"TRIP","1"
"Trioskaz","1"
"Trion Worlds","1"
"Trinket Studios","1"
"Trine Studios","1"
"Triangle!","1"
"TRI.G","1"
"Trepang Studios","1"
"Tree Men Games","1"
"TREASURE","1"
"Trashmasters","1"
"TrampolineTales","1"
"Tragnarion Studios","1"
"Toys for Bob","1"
"Toylogic Inc.","1"
"Toxic Dog","1"
"Tour De Pizza","1"
"Toukana Interactive","1"
"Torn Banner Studios","1"
"Topware Interactive","1"
"Toothless T-Rex","1"
"Too Kind Studio","1"
"Tonguç Bodur","1"
"Tomoaki Sugeno","1"
"TommahGames","1"
"Tomlab Games","1"
"Tomkorp Computer Solutions Inc.","1"
"Tomi Maarela","1"
"Tomasz Wacławek","1"
"Tomás Batista","1"
"Tolga Ay","1"
"tobyfox","1"
"tobspr Games","1"
"Tobias Springer","1"
"Tobias Sjögren","1"
"ToastieLabs","1"
"Toadman Interactive","1"
"TNT Team","1"
"TML Team","1"
"TLM Partners","1"
"TK Studio","1"
"Titan Forge Games","1"
"tinyBuild","1"
"Tiny Mold","1"
"Tiny Lab Productions","1"
"Timon Herzog","1"
"TikGames","1"
"Tiger and Squid","1"
"Tideturners","1"
"TickTock Games","1"
"Thylacine Studios","1"
"Thunderful","1"
"THS","1"
"THREE ONE ZERO","1"
"Three Gates","1"
"Three Fields Entertainment","1"
"Three Donkeys LLC","1"
"Threaks","1"
"THQ Nordic Barcelona","1"
"Thoughtshelter Games","1"
"Those Awesome Guys","1"
"Thorium","1"
"Thomas Moon Kang","1"
"Thomas M. Visser","1"
"ThirtyThree","1"
"Third Millenium Software","1"
"Thing Trunk","1"
"Theresa Duringer","1"
"thePetHen","1"
"TheLiquidHorse","1"
"Thekla, Inc.","1"
"TheGameCreators","1"
"The Wall Productions Inc.","1"
"The Tiniest Shark","1"
"The Story Mechanics","1"
"The Sims Studio","1"
"The Pixel Hunt","1"
"The Molasses Flood","1"
"The Men Who Wear Many Hats","1"
"The Indie Stone","1"
"The Gentlebros","1"
"The Game Kitchen","1"
"The Future Of Videogames","1"
"The Fun Pimps","1"
"The Fox Knocks","1"
"The Deep End Games","1"
"The Creative Assembly","1"
"The Conjurer's Tower","1"
"The Collective","1"
"The Bitmap Brothers","1"
"The Bearded Ladies","1"
"tha ltd.","1"
"Teyon","1"
"Texel Raptor","1"
"Tetabester","1"
"Test3 Projects","1"
"terunon's Lab","1"
"Terror Dog Studio","1"
"Terrible Toybox","1"
"Tequila Works, S.L.","1"
"tequibo","1"
"Teotl Studios","1"
"Tengsten","1"
"Tendershoot","1"
"TEKUNOS A","1"
"Teeworlds Team","1"
"TECOPARK","1"
"TechnoBrake","1"
"TeamCrew","1"
"Team8 Studio","1"
"Team2Bit","1"
"Team17 Software Ltd.","1"
